Station,date,measurement,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
土城,02-02-2022 00:00,AMB_TEMP,16.4,16.4,16.5,16.5,16.6,16.6,16.8,16.9,17.2,17.7,17.9,18.9,20.9,20.9,19.8,18.3,17.6,17.5,17.8,17.8,17.7,17.8,18,17.9
土城,02-02-2022 00:00,CH4,2.06,2.07,2.11,2.11,2.11,2.1,2.1,2.08,2.1,2.14,2.2,2.17,2.08,2.08,2.11,2.13,2.15,2.14,2.13,2.1,2.1,2.09,2.09,2.16
土城,02-02-2022 00:00,CO,0.24,0.27,0.29,0.29,0.3,0.31,0.3,0.3,0.35,0.4,0.49,0.47,0.32,0.32,0.35,0.33,0.36,0.43,0.42,0.32,0.31,0.31,0.32,0.42
土城,02-02-2022 00:00,NMHC,0.05,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.07,0.11,0.17,0.14,0.06,0.07,0.08,0.07,0.09,0.11,0.11,0.07,0.06,0.06,0.06,0.1
土城,02-02-2022 00:00,NO,0.4,0.2,0.4,0.5,0.5,0.3,0.4,0.5,0.7,1,1.5,2.4,1.7,1.1,0.8,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5
土城,02-02-2022 00:00,NO2,6.2,3.9,4.4,4,4.1,3.5,3.9,5,5.5,7.8,10.9,12.5,5,5.3,6.6,6.8,8.9,11.7,12.6,7,7.5,7.4,8,10.2
土城,02-02-2022 00:00,NOx,6.6,4.2,4.9,4.6,4.6,3.9,4.3,5.5,6.2,8.8,12.5,15,6.8,6.4,7.4,7.4,9.5,12.3,13.2,7.6,8.1,7.9,8.5,10.7
土城,02-02-2022 00:00,O3,42,45.7,44.7,44,43.7,45.1,43.6,41.5,39.7,37.4,33.9,35.7,44.9,44.5,39.5,38.3,36.7,31,32.4,38.7,37.9,37.6,35.5,30
土城,02-02-2022 00:00,PM10,6,8,5,6,3,5,6,4,2,3,11,8,4,4,4,6,7,5,2,1,2,4,6,3
土城,02-02-2022 00:00,PM2.5,6,4,1,1,3,5,6,8,4,0,7,8,4,2,5,4,1,6,5,2,3,5,3,2
土城,02-02-2022 00:00,RAINFALL,2,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
土城,02-02-2022 00:00,RH,97,97,97,97,97,97,97,97,97,97,97,97,95,92,96,97,97,97,97,97,97,97,97,97
土城,02-02-2022 00:00,SO2,1.9,0.4,0.8,0.7,0.5,0.7,0.5,0.9,0.7,0.6,0.5,0.6,0.6,0.8,0.7,0.5,0.5,0.5,0.8,0.8,0.9,1,1.2,1
土城,02-02-2022 00:00,THC,2.11,2.1,2.15,2.15,2.15,2.14,2.14,2.13,2.17,2.25,2.37,2.31,2.14,2.15,2.19,2.2,2.24,2.25,2.24,2.17,2.16,2.15,2.15,2.26
土城,02-02-2022 00:00,WD_HR,161,145,143,138,147,150,142,147,8,353,350,164,157,135,325,322,333,238,138,138,140,146,147,330
土城,02-02-2022 00:00,WIND_DIREC,140,145,145,40,134,154,140,138,4,339,350,139,260,349,309,320,338,183,142,155,140,142,154,196
土城,02-02-2022 00:00,WIND_SPEED,1.3,1.5,1.1,1,1.5,1.1,1.4,1.2,0.8,1.5,1.2,1.6,1.8,1.7,1.5,1.3,1.3,0.4,1.3,1.1,1,1.4,1,0.5
土城,02-02-2022 00:00,WS_HR,0.6,0.8,0.5,0.6,0.6,1,1.2,1.2,0.1,0.7,0.9,0.3,0.7,0.2,0.9,1.5,1.1,0.1,0.5,0.6,0.8,0.6,0.4,0.5
